php:Elecena\Services\Sphinx::getKeywords	SQL CALL	sphinx:unknown	0.1266	0.017 QPS
sphinx:datasheets	SQL SELECT	php:Elecena\Services\Sphinx::search	0.1515	0.020 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0602	0.008 QPS
mysql:parameters	SQL SELECT	php:Parameters::newFromCode	0.3071	0.041 QPS
mysql:parameters	SQL SELECT	php:Parameters::exists	0.3122	0.042 QPS
sphinx:products	SQL SELECT	php:Elecena\Services\Sphinx::getProductsForTags	0.0664	0.009 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0073	0.001 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0332	0.004 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0218	0.003 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0768	0.010 QPS
mysql:products	SQL SELECT	php:Indexer::run	0.3081	0.041 QPS
php:ImageBot::fetchImage	SQL UPDATE	mysql:products	0.0820	0.011 QPS
sphinx:products	SQL SELECT	php:Elecena\Services\Sphinx::getIndexCount	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.3174	0.043 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	1.0000	0.134 QPS
mysql:datasheets	SQL SELECT	php:Elecena\Models\Datasheet::getOtherCodes	0.0073	0.001 QPS
sphinx:products	SQL SELECT	php:StatsController::rebuildStats	0.0010	0.000 QPS
mysql:datasheets	SQL SELECT	php:Elecena\Models\Datasheet::newFromIds	0.0363	0.005 QPS
sphinx:products	SQL SELECT	php:Elecena\Services\Search::products	0.0498	0.007 QPS
sphinx:products	SQL SELECT	php:StatsController::rebuildStats	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0384	0.005 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0747	0.010 QPS
mysql:datasheets	SQL SELECT	php:Elecena\Models\Datasheet::newFromIds	0.0249	0.003 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0124	0.002 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.1483	0.020 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.4305	0.058 QPS
mysql:producers	SQL SELECT	php:db_mysql::query	0.1992	0.027 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0363	0.005 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0384	0.005 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:shops	0.0446	0.006 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.3071	0.041 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
mysql:shops	SQL SELECT	php:db_mysql::query	0.0467	0.006 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0539	0.007 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0093	0.001 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0062	0.001 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0041	0.001 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0062	0.001 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:NmA	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0021	0.000 QPS
php:db_mysql::query	SQL INSERT	mysql:products	0.0809	0.011 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0809	0.011 QPS
mysql:products	SQL SELECT	php:StatsController::getLastChanges	0.0021	0.000 QPS
sphinx:products	SQL SELECT	php:StatsController::rebuildStats	0.0010	0.000 QPS
sphinx:datasheets	SQL SELECT	php:DatasheetController::onGetStats	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0519	0.007 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:shops	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
php:db_mysql::query	SQL INSERT	mysql:shops_stats	0.0083	0.001 QPS
sphinx:parameters	SQL SELECT	php:Parameters::getDatabaseCount	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.1421	0.019 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0425	0.006 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0031	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0228	0.003 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0249	0.003 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0041	0.001 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0031	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0052	0.001 QPS
sphinx:products	SQL SELECT	php:StatsController::getLastChanges	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0041	0.001 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0425	0.006 QPS
php:db_mysql::query	SQL DESCRIBE	mysql:unknown	0.0041	0.001 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0052	0.001 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
sphinx:parameters	SQL SELECT	php:Parameters::getSimilar	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:shops	0.0010	0.000 QPS
php:db_mysql::query	SQL DELETE	mysql:shops_stats	0.0010	0.000 QPS
php:db_mysql::query	SQL DESCRIBE	mysql:unknown	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0166	0.002 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0228	0.003 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0913	0.012 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0114	0.002 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
